street;street_type;lat;lon;named_after_person;annotation
Никольский проспект;ул. общегородского значения;54.9416383;83.1970342;False;Никольский проспект — обычный городской топоним.
1-й Облепиховый переулок;жилая улица;55.1003975;82.5884928;False;1-й Облепиховый переулок — обычный городской топоним.
оффроад трейл;тропинка;54.7783467;83.2000882;False;оффроад трейл — обычный городской топоним.
тропа - старый пожарный ров;тропинка;54.783725;83.2048814;False;тропа - старый пожарный ров — обычный городской топоним.
улица А. Шкулова;жилая улица;54.7149527;83.0572727;False;улица А. Шкулова — обычный городской топоним.
Александровская улица;проезд;54.7083265;83.229192;False;Александровская улица — обычный городской топоним.
Трейл от квадрациклов;тропинка;54.8192118;83.2170672;False;Трейл от квадрациклов — обычный городской топоним.
Автодорога 10;жилая улица;54.9369093;83.1954687;False;Автодорога 10 — обычный городской топоним.
Коттеджная улица;проезд;54.8323313;83.2476262;False;Коттеджная улица — обычный городской топоним.
Задорожная улица;проезд;54.8371776;83.2500199;False;Задорожная улица — обычный городской топоним.
Трейл 'Солнечный';велосипедная дорожка;54.8324839;83.1947242;False;Трейл 'Солнечный' — обычный городской топоним.
Автодорога №12 (часть 2);ул. районного значения;54.9351274;83.1969349;False;Автодорога №12 (часть 2) — обычный городской топоним.
на пасеку;грунтовая дорога;54.9102319;82.6331677;False;на пасеку — обычный городской топоним.
Вечерняя улица;жилая улица;55.2188743;82.8406573;False;Вечерняя улица — обычный городской топоним.
Трудовой переулок;жилая улица;55.2136525;82.8391524;False;Трудовой переулок — обычный городской топоним.
улица Охотный ряд;жилая улица;55.2150838;82.8372648;False;улица Охотный ряд — обычный городской топоним.
улица 22;проезд;54.7146831;83.0912364;False;улица 22 — обычный городской топоним.
Автодорога № 7;улица;54.9147639;83.2022371;False;Автодорога № 7 — обычный городской топоним.
улица Лесная;жилая улица;55.2433025;82.8669016;False;улица Лесная — обычный городской топоним.
улица Дачная;жилая улица;55.243;82.8660348;False;улица Дачная — обычный городской топоним.
улица Солнечная;жилая улица;55.2435912;82.8654599;False;улица Солнечная — обычный городской топоним.
улица Речная;жилая улица;55.2442755;82.8643677;False;улица Речная — обычный городской топоним.
Сибирский тракт Новотыртышное-Малый Оёш;грунтовая дорога;55.2837132;82.527921;False;Сибирский тракт Новотыртышное-Малый Оёш — обычный городской топоним.
Участок Сибирского тракта западней Малого Ояша;грунтовая дорога;55.2810229;82.6382098;False;Участок Сибирского тракта западней Малого Ояша — обычный городской топоним.
1-я Тупиковая улица;жилая улица;55.1024946;82.5821755;False;1-я Тупиковая улица — обычный городской топоним.
