street;street_type;lat;lon
Бердская улица;жилая улица;54.7550334;83.0703511
улица Пугачёва;жилая улица;54.7541874;83.1000867
улица Мусоргского;жилая улица;54.746903;83.1048952
Искитимская улица;жилая улица;54.7546076;83.0691496
Водосточная улица;жилая улица;54.7549049;83.0749731
улица Пастухова;жилая улица;54.7578839;83.0670683
улица Чернышевского;жилая улица;54.758704;83.0901796
Огнеупорная улица;проезд;54.7720418;83.0939991
Химзаводская улица;улица;54.7404703;83.1319936
Ореховая улица;жилая улица;54.7369763;83.1653913
Ольховая улица;жилая улица;54.7372042;83.1740704
улица Крупской;жилая улица;54.9638963;83.1955297
улица Колчина;жилая улица;55.0971274;82.6415162
улица Частикина;жилая улица;55.0957104;82.6431631
Кудряшовская улица;жилая улица;55.0956903;82.6399402
улица Чернышова;жилая улица;55.0941339;82.6354736
Камышовая улица;жилая улица;55.0926335;82.6452346
Чалдонская улица;жилая улица;55.097358;82.6482951
улица Сибирская;улица;55.0654719;83.2272652
Сахалинская Улица;проезд;55.2533418;82.8826397
Хабаровская Улица;проезд;55.2526205;82.8819131
Волгоградская Улица;проезд;55.2497716;82.8817681
улица Черёмушный лог;жилая улица;55.255985;82.9169193
Девяткина Улица;проезд;55.2493034;82.8732611
улица Заячий Хутор;жилая улица;55.2072493;83.2306946
Барышево - Кольцово;ул. общегородского значения;54.9520711;83.1919615
танковая колея;грунтовая дорога;54.8860997;83.2319825
Восходная улица;жилая улица;54.9484963;83.2105271
Векторная улица;жилая улица;54.9473658;83.2084275
Барнаульская улица;магистраль;54.7519076;83.1429172
улица Резина;жилая улица;54.7525591;83.0983447
Водобачная улица;ул. районного значения;54.7685905;83.0979201
Аэродромная улица;жилая улица;54.744955;83.1018848
улица Л.Чайкиной;жилая улица;54.7551499;83.1111598
улица Химиков;жилая улица;54.794309;83.18911
На электричку;тропинка;54.9495872;83.1892237
Жаворонков;проезд;54.833971;83.2426322
Полесье;проезд;54.8347925;83.2438231
улица Огородников;проезд;54.8349961;83.2488628
Лесостепная улица;проезд;54.8338454;83.2435361
Оазис;проезд;54.8370435;83.2473431
Ветвистая улица;проезд;54.8369556;83.2491734
Запрудная улица;проезд;54.835693;83.2471086
Плодородная улица;проезд;54.8361701;83.2478193
Добрососедская улица;проезд;54.8352669;83.246518
Мелисса;проезд;54.8320346;83.2447116
Небесная улица;жилая зона;54.8427812;83.2589942
Журавлиная улица;жилая улица;54.746318;83.0786978
улица Великороссов;жилая улица;54.711956;83.0833002
улица Тьюринга;жилая зона;54.8433676;83.1815091
улица Авиаторов;жилая улица;54.7432686;83.0994854
улица Барлакская;жилая улица;55.2658833;82.9086126
улица Первых Коммунаров;ул. районного значения;54.7019176;82.5496392
Кристальная улица;жилая улица;54.7335528;83.071622
Здоровая улица;проезд;55.2509222;82.9732996
Купеческая улица;жилая улица;55.2487872;82.9792304
Свободная улица;проезд;55.2503108;82.9836256
улица Солнечная Поляна;жилая улица;54.9326534;83.1958902
Дубравная улица;жилая улица;54.9303553;83.1847375
улица Подгорбунского;жилая улица;54.8103898;82.600566
Творческая улица;жилая зона;54.8386162;83.2561916
улица Радужный микрорайон;проезд;54.7666356;83.0792402
Заповедная улица;жилая улица;54.735547;83.1773787
улица Купца Горохова;жилая улица;54.7386022;83.0705365
Тропа через кладбище;тропинка;54.9546864;83.1874314
улица Соколовского;жилая улица;54.9399349;82.5777198
улица Якимовых;проезд;54.9878209;83.2770256
Песчанная улица;жилая улица;55.1002822;82.58743
Крутоярная улица;проезд;54.9866967;83.1842511
Въездная улица;жилая улица;55.2244563;82.8436484
Ветеран;жилая улица;55.2197121;82.8440818
Жигулёвская улица;проезд;55.2018937;82.8110965
Просёлок/лыжня;грунтовая дорога;54.8251432;83.2302057
улица Панфилова;проезд;54.7543861;83.1129396
Танковый трек;грунтовая дорога;54.8968919;83.2088883
Снегирей;проезд;54.83479;83.2458447
улица Бердского спецназа;жилая улица;54.7467053;83.0803001
улица поэта Сорокина;жилая улица;54.7402939;83.0731263
Салаирская улица;жилая улица;54.7353085;83.0674444
Благодарная улица;жилая улица;54.7160789;83.0741501
улица Возрождения;жилая улица;55.2808633;82.6747993
улица Коммунаров;жилая улица;55.2815577;82.6736064
Мост влюблённых;пешеходная дорожка;54.9464278;83.1992323
улица А. Шкулова;жилая улица;54.7149527;83.0572727
Александровская улица;проезд;54.7083265;83.229192
Трейл от квадрациклов;тропинка;54.8192118;83.2170672
Коттеджная улица;проезд;54.8323313;83.2476262
Задорожная улица;проезд;54.8371776;83.2500199
Вечерняя улица;жилая улица;55.2188743;82.8406573
улица Охотный ряд;жилая улица;55.2150838;82.8372648
улица Солнечная;жилая улица;55.2435912;82.8654599
улица В. Чкалова;жилая улица;54.7123773;83.0625648
улица Г. Титова;жилая улица;54.7155114;83.056248
Преображенская улица;ул. районного значения;54.9412788;83.2035451
Шампанская улица;жилая улица;55.2028543;82.8088455
Коньячная улица;проезд;55.2014804;82.8105694
Доп лыжня;пешеходная дорожка;54.9488713;83.1874197
Племзаводскакя улица;жилая улица;54.9630811;83.1942748
Орлиная улица;жилая улица;54.9282853;83.1995012
Тропинка к Забобурихе;тропинка;54.9465335;83.199225
Грибная улийа;жилая улица;54.9650366;83.2687902
Цветная Улица;проезд;55.2496572;82.8747963
Кедровый Берег Улица;улица;55.2749867;82.8830865
Ярославская Улица;проезд;55.2476999;82.8847902
улица Сватухина;ул. районного значения;55.0157119;82.4695609
улица Соловьёва;жилая улица;55.3021087;82.7362065
улица Овчинникова;жилая улица;55.3066026;82.7552584
Колывань — Южино;ул. районного значения;55.4020935;82.6230378
<== Жеребцово-Мотково ==>;грунтовая дорога;55.1406727;83.458484
улица Зибарева;жилая улица;55.0053671;82.4692393
Политотдельская улица;улица;55.0114159;82.4586767
нет движения;улица;55.3105362;83.175617
улица Коротеева;жилая улица;54.6376834;83.3075861
улица Чайкиной;ул. районного значения;54.6467447;83.3069322
Цементная улица;улица;54.650364;83.2886043
Семипалатинская улица;улица;54.6461728;83.310059
Канатная улица;ул. районного значения;54.6397937;83.3211155
улица Космодемьянской;жилая улица;54.6556398;83.2939835
улица Кошевого;жилая улица;54.6559229;83.2918591
улица Лесосплава;жилая улица;54.635526;83.3116139
Крутая улица;жилая улица;54.6464578;83.3289415
Элеваторная улица;жилая улица;54.6455796;83.2887414
улица Авроры;жилая улица;54.640119;83.2900886
Уклонная улица;жилая улица;54.635297;83.2809352
Тепличная улица;жилая улица;54.6516544;83.2751832
улица Клары Цеткин;жилая улица;54.6621348;83.3242247
Карьерная улица;жилая улица;54.6497586;83.3249266
Карьер цемзавода;жилая улица;54.6540014;83.3296213
улица Ворошилова;жилая улица;55.3108934;82.7437714
улица Фёдорова;жилая улица;54.7148501;83.2897361
